buying,maint,doors,persons,lug_boot,safety,PRICE,CONFORT,condition
vhigh,vhigh,two,two,small,low,vhigh_vhigh,two_two_small,unacc
vhigh,vhigh,two,two,small,med,vhigh_vhigh,two_two_small,unacc
vhigh,vhigh,two,two,small,high,vhigh_vhigh,two_two_small,unacc
vhigh,vhigh,two,two,med,low,vhigh_vhigh,two_two_med,unacc
vhigh,vhigh,two,two,med,med,vhigh_vhigh,two_two_med,unacc
vhigh,vhigh,two,two,med,high,vhigh_vhigh,two_two_med,unacc
vhigh,vhigh,two,two,big,low,vhigh_vhigh,two_two_big,unacc
vhigh,vhigh,two,two,big,med,vhigh_vhigh,two_two_big,unacc
vhigh,vhigh,two,two,big,high,vhigh_vhigh,two_two_big,unacc
vhigh,vhigh,two,four,small,low,vhigh_vhigh,two_four_small,unacc
vhigh,vhigh,two,four,small,med,vhigh_vhigh,two_four_small,unacc
vhigh,vhigh,two,four,small,high,vhigh_vhigh,two_four_small,unacc
vhigh,vhigh,two,four,med,low,vhigh_vhigh,two_four_med,unacc
vhigh,vhigh,two,four,med,med,vhigh_vhigh,two_four_med,unacc
vhigh,vhigh,two,four,med,high,vhigh_vhigh,two_four_med,unacc
vhigh,vhigh,two,four,big,low,vhigh_vhigh,two_four_big,unacc
vhigh,vhigh,two,four,big,med,vhigh_vhigh,two_four_big,unacc
vhigh,vhigh,two,four,big,high,vhigh_vhigh,two_four_big,unacc
vhigh,vhigh,two,more,small,low,vhigh_vhigh,two_more_small,unacc
vhigh,vhigh,two,more,small,med,vhigh_vhigh,two_more_small,unacc
vhigh,vhigh,two,more,small,high,vhigh_vhigh,two_more_small,unacc
vhigh,vhigh,two,more,med,low,vhigh_vhigh,two_more_med,unacc
vhigh,vhigh,two,more,med,med,vhigh_vhigh,two_more_med,unacc
vhigh,vhigh,two,more,med,high,vhigh_vhigh,two_more_med,unacc
vhigh,vhigh,two,more,big,low,vhigh_vhigh,two_more_big,unacc
vhigh,vhigh,two,more,big,med,vhigh_vhigh,two_more_big,unacc
vhigh,vhigh,two,more,big,high,vhigh_vhigh,two_more_big,unacc
vhigh,vhigh,three,two,small,low,vhigh_vhigh,three_two_small,unacc
vhigh,vhigh,three,two,small,med,vhigh_vhigh,three_two_small,unacc
vhigh,vhigh,three,two,small,high,vhigh_vhigh,three_two_small,unacc
vhigh,vhigh,three,two,med,low,vhigh_vhigh,three_two_med,unacc
vhigh,vhigh,three,two,med,med,vhigh_vhigh,three_two_med,unacc
vhigh,vhigh,three,two,med,high,vhigh_vhigh,three_two_med,unacc
vhigh,vhigh,three,two,big,low,vhigh_vhigh,three_two_big,unacc
vhigh,vhigh,three,two,big,med,vhigh_vhigh,three_two_big,unacc
vhigh,vhigh,three,two,big,high,vhigh_vhigh,three_two_big,unacc
vhigh,vhigh,three,four,small,low,vhigh_vhigh,three_four_small,unacc
vhigh,vhigh,three,four,small,med,vhigh_vhigh,three_four_small,unacc
vhigh,vhigh,three,four,small,high,vhigh_vhigh,three_four_small,unacc
vhigh,vhigh,three,four,med,low,vhigh_vhigh,three_four_med,unacc
vhigh,vhigh,three,four,med,med,vhigh_vhigh,three_four_med,unacc
vhigh,vhigh,three,four,med,high,vhigh_vhigh,three_four_med,unacc
vhigh,vhigh,three,four,big,low,vhigh_vhigh,three_four_big,unacc
vhigh,vhigh,three,four,big,med,vhigh_vhigh,three_four_big,unacc
vhigh,vhigh,three,four,big,high,vhigh_vhigh,three_four_big,unacc
vhigh,vhigh,three,more,small,low,vhigh_vhigh,three_more_small,unacc
vhigh,vhigh,three,more,small,med,vhigh_vhigh,three_more_small,unacc
vhigh,vhigh,three,more,small,high,vhigh_vhigh,three_more_small,unacc
vhigh,vhigh,three,more,med,low,vhigh_vhigh,three_more_med,unacc
vhigh,vhigh,three,more,med,med,vhigh_vhigh,three_more_med,unacc
vhigh,vhigh,three,more,med,high,vhigh_vhigh,three_more_med,unacc
vhigh,vhigh,three,more,big,low,vhigh_vhigh,three_more_big,unacc
vhigh,vhigh,three,more,big,med,vhigh_vhigh,three_more_big,unacc
vhigh,vhigh,three,more,big,high,vhigh_vhigh,three_more_big,unacc
vhigh,vhigh,four,two,small,low,vhigh_vhigh,four_two_small,unacc
vhigh,vhigh,four,two,small,med,vhigh_vhigh,four_two_small,unacc
vhigh,vhigh,four,two,small,high,vhigh_vhigh,four_two_small,unacc
vhigh,vhigh,four,two,med,low,vhigh_vhigh,four_two_med,unacc
vhigh,vhigh,four,two,med,med,vhigh_vhigh,four_two_med,unacc
vhigh,vhigh,four,two,med,high,vhigh_vhigh,four_two_med,unacc
vhigh,vhigh,four,two,big,low,vhigh_vhigh,four_two_big,unacc
vhigh,vhigh,four,two,big,med,vhigh_vhigh,four_two_big,unacc
vhigh,vhigh,four,two,big,high,vhigh_vhigh,four_two_big,unacc
vhigh,vhigh,four,four,small,low,vhigh_vhigh,four_four_small,unacc
vhigh,vhigh,four,four,small,med,vhigh_vhigh,four_four_small,unacc
vhigh,vhigh,four,four,small,high,vhigh_vhigh,four_four_small,unacc
vhigh,vhigh,four,four,med,low,vhigh_vhigh,four_four_med,unacc
vhigh,vhigh,four,four,med,med,vhigh_vhigh,four_four_med,unacc
vhigh,vhigh,four,four,med,high,vhigh_vhigh,four_four_med,unacc
vhigh,vhigh,four,four,big,low,vhigh_vhigh,four_four_big,unacc
vhigh,vhigh,four,four,big,med,vhigh_vhigh,four_four_big,unacc
vhigh,vhigh,four,four,big,high,vhigh_vhigh,four_four_big,unacc
vhigh,vhigh,four,more,small,low,vhigh_vhigh,four_more_small,unacc
vhigh,vhigh,four,more,small,med,vhigh_vhigh,four_more_small,unacc
vhigh,vhigh,four,more,small,high,vhigh_vhigh,four_more_small,unacc
vhigh,vhigh,four,more,med,low,vhigh_vhigh,four_more_med,unacc
vhigh,vhigh,four,more,med,med,vhigh_vhigh,four_more_med,unacc
vhigh,vhigh,four,more,med,high,vhigh_vhigh,four_more_med,unacc
vhigh,vhigh,four,more,big,low,vhigh_vhigh,four_more_big,unacc
vhigh,vhigh,four,more,big,med,vhigh_vhigh,four_more_big,unacc
vhigh,vhigh,four,more,big,high,vhigh_vhigh,four_more_big,unacc
vhigh,vhigh,five_or_more,two,small,low,vhigh_vhigh,five_or_more_two_small,unacc
vhigh,vhigh,five_or_more,two,small,med,vhigh_vhigh,five_or_more_two_small,unacc
vhigh,vhigh,five_or_more,two,small,high,vhigh_vhigh,five_or_more_two_small,unacc
vhigh,vhigh,five_or_more,two,med,low,vhigh_vhigh,five_or_more_two_med,unacc
vhigh,vhigh,five_or_more,two,med,med,vhigh_vhigh,five_or_more_two_med,unacc
vhigh,vhigh,five_or_more,two,med,high,vhigh_vhigh,five_or_more_two_med,unacc
vhigh,vhigh,five_or_more,two,big,low,vhigh_vhigh,five_or_more_two_big,unacc
vhigh,vhigh,five_or_more,two,big,med,vhigh_vhigh,five_or_more_two_big,unacc
vhigh,vhigh,five_or_more,two,big,high,vhigh_vhigh,five_or_more_two_big,unacc
vhigh,vhigh,five_or_more,four,small,low,vhigh_vhigh,five_or_more_four_small,unacc
vhigh,vhigh,five_or_more,four,small,med,vhigh_vhigh,five_or_more_four_small,unacc
vhigh,vhigh,five_or_more,four,small,high,vhigh_vhigh,five_or_more_four_small,unacc
vhigh,vhigh,five_or_more,four,med,low,vhigh_vhigh,five_or_more_four_med,unacc
vhigh,vhigh,five_or_more,four,med,med,vhigh_vhigh,five_or_more_four_med,unacc
vhigh,vhigh,five_or_more,four,med,high,vhigh_vhigh,five_or_more_four_med,unacc
vhigh,vhigh,five_or_more,four,big,low,vhigh_vhigh,five_or_more_four_big,unacc
vhigh,vhigh,five_or_more,four,big,med,vhigh_vhigh,five_or_more_four_big,unacc
vhigh,vhigh,five_or_more,four,big,high,vhigh_vhigh,five_or_more_four_big,unacc
vhigh,vhigh,five_or_more,more,small,low,vhigh_vhigh,five_or_more_more_small,unacc
vhigh,vhigh,five_or_more,more,small,med,vhigh_vhigh,five_or_more_more_small,unacc
vhigh,vhigh,five_or_more,more,small,high,vhigh_vhigh,five_or_more_more_small,unacc
vhigh,vhigh,five_or_more,more,med,low,vhigh_vhigh,five_or_more_more_med,unacc
vhigh,vhigh,five_or_more,more,med,med,vhigh_vhigh,five_or_more_more_med,unacc
vhigh,vhigh,five_or_more,more,med,high,vhigh_vhigh,five_or_more_more_med,unacc
vhigh,vhigh,five_or_more,more,big,low,vhigh_vhigh,five_or_more_more_big,unacc
vhigh,vhigh,five_or_more,more,big,med,vhigh_vhigh,five_or_more_more_big,unacc
vhigh,vhigh,five_or_more,more,big,high,vhigh_vhigh,five_or_more_more_big,unacc
vhigh,high,two,two,small,low,vhigh_high,two_two_small,unacc
vhigh,high,two,two,small,med,vhigh_high,two_two_small,unacc
vhigh,high,two,two,small,high,vhigh_high,two_two_small,unacc
vhigh,high,two,two,med,low,vhigh_high,two_two_med,unacc
vhigh,high,two,two,med,med,vhigh_high,two_two_med,unacc
vhigh,high,two,two,med,high,vhigh_high,two_two_med,unacc
vhigh,high,two,two,big,low,vhigh_high,two_two_big,unacc
vhigh,high,two,two,big,med,vhigh_high,two_two_big,unacc
vhigh,high,two,two,big,high,vhigh_high,two_two_big,unacc
vhigh,high,two,four,small,low,vhigh_high,two_four_small,unacc
vhigh,high,two,four,small,med,vhigh_high,two_four_small,unacc
vhigh,high,two,four,small,high,vhigh_high,two_four_small,unacc
vhigh,high,two,four,med,low,vhigh_high,two_four_med,unacc
vhigh,high,two,four,med,med,vhigh_high,two_four_med,unacc
vhigh,high,two,four,med,high,vhigh_high,two_four_med,unacc
vhigh,high,two,four,big,low,vhigh_high,two_four_big,unacc
vhigh,high,two,four,big,med,vhigh_high,two_four_big,unacc
vhigh,high,two,four,big,high,vhigh_high,two_four_big,unacc
vhigh,high,two,more,small,low,vhigh_high,two_more_small,unacc
vhigh,high,two,more,small,med,vhigh_high,two_more_small,unacc
vhigh,high,two,more,small,high,vhigh_high,two_more_small,unacc
vhigh,high,two,more,med,low,vhigh_high,two_more_med,unacc
vhigh,high,two,more,med,med,vhigh_high,two_more_med,unacc
vhigh,high,two,more,med,high,vhigh_high,two_more_med,unacc
vhigh,high,two,more,big,low,vhigh_high,two_more_big,unacc
vhigh,high,two,more,big,med,vhigh_high,two_more_big,unacc
vhigh,high,two,more,big,high,vhigh_high,two_more_big,unacc
vhigh,high,three,two,small,low,vhigh_high,three_two_small,unacc
vhigh,high,three,two,small,med,vhigh_high,three_two_small,unacc
vhigh,high,three,two,small,high,vhigh_high,three_two_small,unacc
vhigh,high,three,two,med,low,vhigh_high,three_two_med,unacc
vhigh,high,three,two,med,med,vhigh_high,three_two_med,unacc
vhigh,high,three,two,med,high,vhigh_high,three_two_med,unacc
vhigh,high,three,two,big,low,vhigh_high,three_two_big,unacc
vhigh,high,three,two,big,med,vhigh_high,three_two_big,unacc
vhigh,high,three,two,big,high,vhigh_high,three_two_big,unacc
vhigh,high,three,four,small,low,vhigh_high,three_four_small,unacc
vhigh,high,three,four,small,med,vhigh_high,three_four_small,unacc
vhigh,high,three,four,small,high,vhigh_high,three_four_small,unacc
vhigh,high,three,four,med,low,vhigh_high,three_four_med,unacc
vhigh,high,three,four,med,med,vhigh_high,three_four_med,unacc
vhigh,high,three,four,med,high,vhigh_high,three_four_med,unacc
vhigh,high,three,four,big,low,vhigh_high,three_four_big,unacc
vhigh,high,three,four,big,med,vhigh_high,three_four_big,unacc
vhigh,high,three,four,big,high,vhigh_high,three_four_big,unacc
vhigh,high,three,more,small,low,vhigh_high,three_more_small,unacc
vhigh,high,three,more,small,med,vhigh_high,three_more_small,unacc
vhigh,high,three,more,small,high,vhigh_high,three_more_small,unacc
vhigh,high,three,more,med,low,vhigh_high,three_more_med,unacc
vhigh,high,three,more,med,med,vhigh_high,three_more_med,unacc
vhigh,high,three,more,med,high,vhigh_high,three_more_med,unacc
vhigh,high,three,more,big,low,vhigh_high,three_more_big,unacc
vhigh,high,three,more,big,med,vhigh_high,three_more_big,unacc
vhigh,high,three,more,big,high,vhigh_high,three_more_big,unacc
vhigh,high,four,two,small,low,vhigh_high,four_two_small,unacc
vhigh,high,four,two,small,med,vhigh_high,four_two_small,unacc
vhigh,high,four,two,small,high,vhigh_high,four_two_small,unacc
vhigh,high,four,two,med,low,vhigh_high,four_two_med,unacc
