Wife_age,wife_educ,husband_educ,num_of_child,wife_relig,wife_works,husband-occup,std_of_living,media_exposure,contraceptive_method_used
24,avg-low,avg-high,three,Islam,No,two,avg-high,Good,Long-term
45,low,avg-high,ten,Islam,No,three,high,Good,Long-term
43,avg-low,avg-high,seven,Islam,No,three,high,Good,Long-term
42,avg-high,avg-low,nine,Islam,No,three,avg-high,Good,Long-term
36,avg-high,avg-high,eight,Islam,No,three,avg-low,Good,Long-term
19,high,high,zero,Islam,No,three,avg-high,Good,Long-term
38,avg-low,avg-high,six,Islam,No,three,avg-low,Good,Long-term
21,avg-high,avg-high,one,Islam,Yes,three,avg-low,Good,Long-term
27,avg-low,avg-high,three,Islam,No,three,high,Good,Long-term
45,low,low,eight,Islam,No,two,avg-low,Not Good,Long-term
38,low,avg-high,two,Islam,Yes,three,avg-high,Not Good,Long-term
42,low,high,four,Islam,No,one,avg-high,Good,Long-term
44,high,high,one,Islam,Yes,one,high,Good,Long-term
42,avg-low,high,one,Islam,Yes,three,avg-high,Good,Long-term
38,avg-high,high,two,Islam,No,two,avg-high,Good,Long-term
26,avg-low,high,zero,Islam,No,four,low,Good,Long-term
48,low,low,seven,Islam,No,two,high,Good,Long-term
39,avg-low,avg-low,six,Islam,No,two,high,Good,Long-term
37,avg-low,avg-low,eight,Islam,No,two,avg-high,Good,Long-term
39,avg-low,low,five,Islam,No,two,low,Not Good,Long-term
26,avg-high,high,one,Islam,Yes,four,low,Good,Long-term
24,avg-high,high,zero,Islam,Yes,three,low,Good,Long-term
46,high,high,one,Non-Islam,No,one,high,Good,Long-term
39,high,high,one,Islam,No,one,high,Good,Long-term
48,high,high,five,Islam,No,one,high,Good,Long-term
40,avg-low,high,eight,Islam,No,three,avg-high,Good,Long-term
38,high,high,one,Islam,Yes,one,high,Good,Long-term
29,high,high,zero,Islam,Yes,one,high,Good,Long-term
24,high,high,zero,Islam,Yes,two,avg-low,Good,Long-term
43,low,avg-low,eight,Islam,No,two,high,Good,Long-term
31,avg-high,high,two,Islam,No,one,high,Good,Long-term
31,high,high,two,Islam,No,three,avg-low,Good,Long-term
26,avg-low,high,zero,Islam,Yes,one,avg-low,Good,Long-term
33,avg-low,avg-low,two,Islam,No,three,low,Good,Long-term
24,avg-low,avg-high,one,Islam,No,three,avg-high,Good,Long-term
42,low,avg-high,nine,Islam,No,three,avg-low,Not Good,Long-term
43,low,avg-low,eight,Islam,Yes,three,low,Good,Long-term
25,avg-high,avg-high,four,Islam,No,three,avg-low,Good,Long-term
42,avg-low,avg-low,three,Islam,No,three,high,Good,Long-term
28,avg-low,avg-low,one,Islam,No,two,high,Good,Long-term
28,low,low,three,Islam,No,three,low,Good,Long-term
47,avg-low,avg-high,zero,Islam,Yes,one,avg-high,Good,Long-term
48,avg-low,high,two,Islam,No,one,avg-high,Good,Long-term
40,high,high,two,Non-Islam,No,one,high,Good,Long-term
28,avg-low,avg-low,one,Islam,No,three,avg-low,Good,Long-term
25,low,high,one,Islam,No,two,low,Good,Long-term
32,high,high,two,Islam,No,two,avg-high,Good,Long-term
45,high,high,zero,Islam,No,two,high,Good,Long-term
26,high,high,one,Islam,No,one,high,Good,Long-term
26,high,high,zero,Islam,Yes,one,high,Good,Long-term
31,high,high,zero,Islam,Yes,one,high,Good,Long-term
49,high,high,seven,Non-Islam,No,two,high,Good,Long-term
40,avg-high,high,eight,Islam,No,three,avg-high,Good,Long-term
34,high,high,one,Non-Islam,Yes,two,avg-high,Good,Long-term
36,avg-low,high,five,Islam,No,two,avg-high,Good,Long-term
20,avg-low,avg-low,two,Islam,No,two,avg-low,Not Good,Long-term
43,high,high,five,Islam,Yes,one,high,Good,Long-term
37,avg-high,high,seven,Islam,No,two,low,Good,Long-term
21,avg-low,avg-high,zero,Islam,No,three,high,Good,Long-term
49,high,high,six,Islam,No,one,avg-low,Good,Long-term
42,avg-high,avg-high,ten,Islam,No,three,avg-high,Good,Long-term
20,avg-low,avg-high,one,Islam,No,two,avg-high,Good,Long-term
47,low,avg-low,two,Islam,Yes,one,avg-high,Good,Long-term
