name-of-country,landmass,zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,corsses,saltires,quarters,sunstrars,crescent,triangle,icon,animate,text,topleft,botright
Afghanistan,Asia,NE,648,16,Others,Muslim,0,3,5,present,present,absent,present,present,present,absent,green,0,0,0,0,1,absent,absent,present,absent,absent,black,green
Albania,Europe,NE,29,3,Other-Indo-European,Marxist,0,0,3,present,absent,absent,present,absent,present,absent,red,0,0,0,0,1,absent,absent,absent,present,absent,red,red
Algeria,Africa,NE,2388,20,Arabic,Muslim,2,0,3,present,present,absent,absent,present,absent,absent,green,0,0,0,0,1,present,absent,absent,absent,absent,green,white
American-Samoa,Oceania, SW,0,0,English,Other-Christian,0,0,5,present,absent,present,present,present,absent,present,blue,0,0,0,0,0,absent,present,present,present,absent,blue,red
Andorra,Europe,NE,0,0,Other-Indo-European,Catholic,3,0,3,present,absent,present,present,absent,absent,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,blue,red
Angola,Africa,SE,1247,7,Others,Ethnic,0,2,3,present,absent,absent,present,absent,present,absent,red,0,0,0,0,1,absent,absent,present,absent,absent,red,black
Anguilla,N.America,NW,0,0,English,Other-Christian,0,1,3,absent,absent,present,absent,present,absent,present,white,0,0,0,0,0,absent,absent,absent,present,absent,white,blue
Antigua-Barbuda,N.America,NW,0,0,English,Other-Christian,0,1,5,present,absent,present,present,present,present,absent,red,0,0,0,0,1,absent,present,absent,absent,absent,black,red
Argentina,S.America, SW,2777,28,Spanish,Catholic,0,3,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,0,absent,absent,absent,absent,absent,blue,blue
Argentine,S.America, SW,2777,28,Spanish,Catholic,0,3,3,absent,absent,present,present,present,absent,absent,blue,0,0,0,0,1,absent,absent,absent,absent,absent,blue,blue
Australia,Oceania,SE,7690,15,English,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,blue,0,1,1,1,6,absent,absent,absent,absent,absent,white,blue
Austria,Europe,NE,84,8,German,Catholic,0,3,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,red
Bahamas,N.America,NW,19,0,English,Other-Christian,0,3,3,absent,absent,present,present,absent,present,absent,blue,0,0,0,0,0,absent,present,absent,absent,absent,blue,blue
