parents,has_nurs,form,children,housing,finance,social,health,NewAttrib1,NewAttrib2,NewAttrib3,class
usual,proper,complete,1,convenient,convenient,nonprob,recommended,usualproper,complete1convenientconvenient,nonprobrecommended,recommend
usual,proper,complete,1,convenient,convenient,nonprob,priority,usualproper,complete1convenientconvenient,nonprobpriority,priority
usual,proper,complete,1,convenient,convenient,nonprob,not_recom,usualproper,complete1convenientconvenient,nonprobnot_recom,not_recom
usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,usualproper,complete1convenientconvenient,slightly_probrecommended,recommend
usual,proper,complete,1,convenient,convenient,slightly_prob,priority,usualproper,complete1convenientconvenient,slightly_probpriority,priority
usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,usualproper,complete1convenientconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,1,convenient,convenient,problematic,recommended,usualproper,complete1convenientconvenient,problematicrecommended,priority
usual,proper,complete,1,convenient,convenient,problematic,priority,usualproper,complete1convenientconvenient,problematicpriority,priority
usual,proper,complete,1,convenient,convenient,problematic,not_recom,usualproper,complete1convenientconvenient,problematicnot_recom,not_recom
usual,proper,complete,1,convenient,inconv,nonprob,recommended,usualproper,complete1convenientinconv,nonprobrecommended,very_recom
usual,proper,complete,1,convenient,inconv,nonprob,priority,usualproper,complete1convenientinconv,nonprobpriority,priority
usual,proper,complete,1,convenient,inconv,nonprob,not_recom,usualproper,complete1convenientinconv,nonprobnot_recom,not_recom
usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,usualproper,complete1convenientinconv,slightly_probrecommended,very_recom
usual,proper,complete,1,convenient,inconv,slightly_prob,priority,usualproper,complete1convenientinconv,slightly_probpriority,priority
usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,usualproper,complete1convenientinconv,slightly_probnot_recom,not_recom
usual,proper,complete,1,convenient,inconv,problematic,recommended,usualproper,complete1convenientinconv,problematicrecommended,priority
usual,proper,complete,1,convenient,inconv,problematic,priority,usualproper,complete1convenientinconv,problematicpriority,priority
usual,proper,complete,1,convenient,inconv,problematic,not_recom,usualproper,complete1convenientinconv,problematicnot_recom,not_recom
usual,proper,complete,1,less_conv,convenient,nonprob,recommended,usualproper,complete1less_convconvenient,nonprobrecommended,very_recom
usual,proper,complete,1,less_conv,convenient,nonprob,priority,usualproper,complete1less_convconvenient,nonprobpriority,priority
usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,usualproper,complete1less_convconvenient,nonprobnot_recom,not_recom
usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,usualproper,complete1less_convconvenient,slightly_probrecommended,very_recom
usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,usualproper,complete1less_convconvenient,slightly_probpriority,priority
usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,usualproper,complete1less_convconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,1,less_conv,convenient,problematic,recommended,usualproper,complete1less_convconvenient,problematicrecommended,priority
usual,proper,complete,1,less_conv,convenient,problematic,priority,usualproper,complete1less_convconvenient,problematicpriority,priority
usual,proper,complete,1,less_conv,convenient,problematic,not_recom,usualproper,complete1less_convconvenient,problematicnot_recom,not_recom
usual,proper,complete,1,less_conv,inconv,nonprob,recommended,usualproper,complete1less_convinconv,nonprobrecommended,very_recom
usual,proper,complete,1,less_conv,inconv,nonprob,priority,usualproper,complete1less_convinconv,nonprobpriority,priority
usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,usualproper,complete1less_convinconv,nonprobnot_recom,not_recom
usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,usualproper,complete1less_convinconv,slightly_probrecommended,very_recom
usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,usualproper,complete1less_convinconv,slightly_probpriority,priority
usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,usualproper,complete1less_convinconv,slightly_probnot_recom,not_recom
usual,proper,complete,1,less_conv,inconv,problematic,recommended,usualproper,complete1less_convinconv,problematicrecommended,priority
usual,proper,complete,1,less_conv,inconv,problematic,priority,usualproper,complete1less_convinconv,problematicpriority,priority
usual,proper,complete,1,less_conv,inconv,problematic,not_recom,usualproper,complete1less_convinconv,problematicnot_recom,not_recom
usual,proper,complete,1,critical,convenient,nonprob,recommended,usualproper,complete1criticalconvenient,nonprobrecommended,very_recom
usual,proper,complete,1,critical,convenient,nonprob,priority,usualproper,complete1criticalconvenient,nonprobpriority,priority
usual,proper,complete,1,critical,convenient,nonprob,not_recom,usualproper,complete1criticalconvenient,nonprobnot_recom,not_recom
usual,proper,complete,1,critical,convenient,slightly_prob,recommended,usualproper,complete1criticalconvenient,slightly_probrecommended,very_recom
usual,proper,complete,1,critical,convenient,slightly_prob,priority,usualproper,complete1criticalconvenient,slightly_probpriority,priority
usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,usualproper,complete1criticalconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,1,critical,convenient,problematic,recommended,usualproper,complete1criticalconvenient,problematicrecommended,priority
usual,proper,complete,1,critical,convenient,problematic,priority,usualproper,complete1criticalconvenient,problematicpriority,priority
usual,proper,complete,1,critical,convenient,problematic,not_recom,usualproper,complete1criticalconvenient,problematicnot_recom,not_recom
usual,proper,complete,1,critical,inconv,nonprob,recommended,usualproper,complete1criticalinconv,nonprobrecommended,very_recom
usual,proper,complete,1,critical,inconv,nonprob,priority,usualproper,complete1criticalinconv,nonprobpriority,priority
usual,proper,complete,1,critical,inconv,nonprob,not_recom,usualproper,complete1criticalinconv,nonprobnot_recom,not_recom
usual,proper,complete,1,critical,inconv,slightly_prob,recommended,usualproper,complete1criticalinconv,slightly_probrecommended,very_recom
usual,proper,complete,1,critical,inconv,slightly_prob,priority,usualproper,complete1criticalinconv,slightly_probpriority,priority
usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,usualproper,complete1criticalinconv,slightly_probnot_recom,not_recom
usual,proper,complete,1,critical,inconv,problematic,recommended,usualproper,complete1criticalinconv,problematicrecommended,priority
usual,proper,complete,1,critical,inconv,problematic,priority,usualproper,complete1criticalinconv,problematicpriority,priority
usual,proper,complete,1,critical,inconv,problematic,not_recom,usualproper,complete1criticalinconv,problematicnot_recom,not_recom
usual,proper,complete,2,convenient,convenient,nonprob,recommended,usualproper,complete2convenientconvenient,nonprobrecommended,very_recom
usual,proper,complete,2,convenient,convenient,nonprob,priority,usualproper,complete2convenientconvenient,nonprobpriority,priority
