language-spoken,course-instructor,course,semester,evaluation
English-Speaker,c23,c3,Summer,High
Non-English-Speaker,c15,c3,Summer,High
English-Speaker,c23,c3,Regular,High
English-Speaker,c5,c2,Regular,High
Non-English-Speaker,c7,c11,Regular,High
Non-English-Speaker,c23,c3,Summer,High
Non-English-Speaker,c9,c5,Regular,High
Non-English-Speaker,c10,c3,Regular,High
English-Speaker,c22,c3,Summer,High
Non-English-Speaker,c15,c3,Summer,High
Non-English-Speaker,c10,c22,Regular,High
Non-English-Speaker,c13,c1,Regular,High
Non-English-Speaker,c18,c21,Regular,High
Non-English-Speaker,c6,c17,Regular,High
Non-English-Speaker,c6,c17,Regular,Medium
Non-English-Speaker,c6,c17,Regular,Medium
Non-English-Speaker,c7,c11,Regular,Medium
Non-English-Speaker,c22,c3,Regular,Medium
Non-English-Speaker,c13,c3,Summer,Medium
Non-English-Speaker,c7,c25,Regular,Medium
Non-English-Speaker,c25,c7,Regular,Medium
Non-English-Speaker,c25,c7,Regular,Medium
Non-English-Speaker,c2,c9,Regular,Medium
Non-English-Speaker,c1,c15,Summer,Medium
Non-English-Speaker,c15,c13,Regular,Medium
Non-English-Speaker,c7,c11,Regular,Medium
Non-English-Speaker,c8,c3,Regular,Medium
Non-English-Speaker,c14,c15,Regular,Medium
Non-English-Speaker,c21,c2,Regular,Low
Non-English-Speaker,c22,c3,Regular,Low
Non-English-Speaker,c11,c1,Regular,Low
Non-English-Speaker,c18,c5,Regular,Low
Non-English-Speaker,c13,c1,Regular,Low
English-Speaker,c13,c3,Summer,Low
Non-English-Speaker,c5,c2,Regular,Low
Non-English-Speaker,c16,c8,Regular,Low
Non-English-Speaker,c4,c16,Regular,Low
Non-English-Speaker,c5,c2,Regular,Low
Non-English-Speaker,c14,c15,Regular,Low
English-Speaker,c23,c3,Summer,High
Non-English-Speaker,c15,c3,Summer,High
English-Speaker,c23,c3,Regular,High
English-Speaker,c5,c2,Regular,High
Non-English-Speaker,c7,c11,Regular,High
Non-English-Speaker,c23,c3,Summer,High
Non-English-Speaker,c9,c5,Regular,High
Non-English-Speaker,c10,c3,Regular,High
English-Speaker,c22,c3,Regular,High
Non-English-Speaker,c15,c3,Summer,High
Non-English-Speaker,c10,c22,Regular,High
Non-English-Speaker,c13,c1,Regular,High
Non-English-Speaker,c18,c21,Regular,High
Non-English-Speaker,c6,c17,Regular,High
Non-English-Speaker,c6,c17,Regular,Medium
Non-English-Speaker,c6,c17,Regular,Medium
Non-English-Speaker,c7,c11,Regular,Medium
Non-English-Speaker,c22,c3,Regular,Medium
Non-English-Speaker,c13,c3,Summer,Medium
Non-English-Speaker,c7,c25,Regular,Medium
Non-English-Speaker,c25,c7,Regular,Medium
Non-English-Speaker,c25,c7,Regular,Medium
Non-English-Speaker,c2,c9,Regular,Medium
Non-English-Speaker,c1,c15,Summer,Medium
Non-English-Speaker,c15,c13,Regular,Medium
Non-English-Speaker,c7,c11,Regular,Medium
Non-English-Speaker,c8,c3,Regular,Medium
Non-English-Speaker,c14,c15,Regular,Medium
Non-English-Speaker,c21,c2,Regular,Low
Non-English-Speaker,c22,c3,Regular,Low
Non-English-Speaker,c11,c1,Regular,Low
Non-English-Speaker,c18,c5,Regular,Low
Non-English-Speaker,c13,c1,Regular,Low
English-Speaker,c13,c3,Summer,Low
Non-English-Speaker,c5,c2,Regular,Low
Non-English-Speaker,c16,c8,Regular,Low
Non-English-Speaker,c4,c16,Regular,Low
Non-English-Speaker,c5,c2,Regular,Low
Non-English-Speaker,c14,c15,Regular,Low
English-Speaker,c23,c3,Summer,High
English-Speaker,c13,c3,Summer,High
Non-English-Speaker,c16,c19,Regular,High
Non-English-Speaker,c9,c2,Regular,High
