language-spoken,teacher-cat,course-cat,semester,class-size,evaluation
English-Speaker,c23,c3,Summer,19,High
Non-English-Speaker,c15,c3,Summer,17,High
English-Speaker,c23,c3,Regular,49,High
English-Speaker,c5,c2,Regular,33,High
Non-English-Speaker,c7,c11,Regular,55,High
Non-English-Speaker,c23,c3,Summer,20,High
Non-English-Speaker,c9,c5,Regular,19,High
Non-English-Speaker,c10,c3,Regular,27,High
English-Speaker,c22,c3,Summer,58,High
Non-English-Speaker,c15,c3,Summer,20,High
Non-English-Speaker,c10,c22,Regular,9,High
Non-English-Speaker,c13,c1,Regular,30,High
Non-English-Speaker,c18,c21,Regular,29,High
Non-English-Speaker,c6,c17,Regular,39,High
Non-English-Speaker,c6,c17,Regular,42,Medium
Non-English-Speaker,c6,c17,Regular,43,Medium
Non-English-Speaker,c7,c11,Regular,10,Medium
Non-English-Speaker,c22,c3,Regular,46,Medium
Non-English-Speaker,c13,c3,Summer,10,Medium
Non-English-Speaker,c7,c25,Regular,42,Medium
Non-English-Speaker,c25,c7,Regular,27,Medium
Non-English-Speaker,c25,c7,Regular,23,Medium
Non-English-Speaker,c2,c9,Regular,31,Medium
Non-English-Speaker,c1,c15,Summer,22,Medium
Non-English-Speaker,c15,c13,Regular,37,Medium
Non-English-Speaker,c7,c11,Regular,13,Medium
Non-English-Speaker,c8,c3,Regular,24,Medium
Non-English-Speaker,c14,c15,Regular,38,Medium
Non-English-Speaker,c21,c2,Regular,42,Low
Non-English-Speaker,c22,c3,Regular,28,Low
Non-English-Speaker,c11,c1,Regular,51,Low
Non-English-Speaker,c18,c5,Regular,19,Low
Non-English-Speaker,c13,c1,Regular,31,Low
English-Speaker,c13,c3,Summer,13,Low
Non-English-Speaker,c5,c2,Regular,37,Low
Non-English-Speaker,c16,c8,Regular,36,Low
Non-English-Speaker,c4,c16,Regular,21,Low
Non-English-Speaker,c5,c2,Regular,48,Low
Non-English-Speaker,c14,c15,Regular,38,Low
English-Speaker,c23,c3,Summer,19,High
Non-English-Speaker,c15,c3,Summer,17,High
English-Speaker,c23,c3,Regular,49,High
English-Speaker,c5,c2,Regular,33,High
Non-English-Speaker,c7,c11,Regular,55,High
