Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Number of Samples Forcing a Leaf,Maximum Depth Allowed,Number of folds,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Uses Monte Carlo,Are Attributes in Random Order?,U [between 0 and 1],L [between 0 and 1],prob_monte_carlo [between 0 and 1],Average Number of Valid Attributes in Root Node (m),Average Number of Nodes (after prunning),Average Tree Depth (after prunning),Total Time Taken for Cross-Validation [s],Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Average Number of Nodes Pruned
2017-04-11 16:49:35.910190,Adult Census Income,32561,1,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.324211503000697,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:38.405477,Adult Census Income,32561,2,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.494803142006276,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:40.893745,Adult Census Income,32561,3,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.4877774600026896,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:43.523869,Adult Census Income,32561,4,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.6296371439966606,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:46.100219,Adult Census Income,32561,5,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.5758270630030893,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:48.490524,Adult Census Income,32561,1,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.389757277996978,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:51.050394,Adult Census Income,32561,2,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.5593329230032396,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:53.580028,Adult Census Income,32561,3,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.5291168010007823,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:55.989674,Adult Census Income,32561,4,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.409153218002757,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:49:58.341536,Adult Census Income,32561,5,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.3513317970064236,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:50:00.705406,Adult Census Income,32561,1,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.3632552009948995,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:50:03.222293,Adult Census Income,32561,2,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.516403798988904,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:50:05.770624,Adult Census Income,32561,3,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.5478386750037316,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:50:08.182677,Adult Census Income,32561,4,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.411495181004284,75.91904425539757,75.91904425539757,0,0.0
