Date Time,Dataset,Total Number of Samples,Number of Training Samples,Number of Trials,Criterion,Number of Samples to Force a Leaf,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Uses Monte Carlo,Are Attributes in Random Order?,U [between 0 and 1],L [between 0 and 1],prob_monte_carlo [between 0 and 1],Average Number of Tests (t),Maximum Number of Tests (t),Minimum Number of Tests (t),Average Number of Fails Allowed (f - 1),Maximum Number of Fails Allowed (f - 1),Minimum Number of Fails Allowed (f - 1),Average Number of Valid Attributes (m),Maximum Number of Valid Attributes (m),Minimum Number of Valid Attributes (m),Average Theoretical Number of Tests per Attribute (E/m),Maximum Theoretical Number of Tests per Attribute (E/m),Minimum Theoretical Number of Tests per Attribute (E/m),Standard Deviation of Theoretical Number of Tests per Attribute (sd(E/m)),Average Number of Tests Needed (E),Maximum Number of Tests Needed (E),Minimum Number of Tests Needed (E),Standard Deviation of Number of Tests Needed (sd(E)),Average Number of Tests Needed per Attribute(E/m),Maximum Number of Tests Needed per Attribute (E/m),Minimum Number of Tests Needed per Attribute (E/m),Standard Deviation of Number of Tests Needed per Attribute (sd(E/m)),Number of Experiments with Accepted Attributes,Average Position of Accepted Attribute,Min Position of Accepted Attribute,Max Position of Accepted Attribute,Standard Deviation of Position of Accepted Attribute,Average Total Time Taken [s],Average Time Taken to Create Tree [s],Average Time Taken Prunning Trivial Subtrees [s],Average Time Taken to Calculate t and f [s],Average Time Taken to Calculate E [s],Average Accuracy Percentage on Trivial Tree (with no splits),Average Accuracy Percentage (with missing values),Average Accuracy Percentage (without missing values),Average Number of Samples with Unkown Values for Accepted Attribute,Average Number of Nodes Pruned
2017-04-19 14:24:44.484619,Adult Census Income,32561,10,5,Gini Gain,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,7.0,8,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.00183157320134,0.00118553999346,1.14189984743e-05,0.0,0.0,74.7360756966,62.2147399465,64.1680229139,6338.2,0.0
2017-04-19 14:24:45.240055,Adult Census Income,32561,10,5,Twoing,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,7.0,8,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.00110532199615,0.00119890196947,1.12736073788e-05,0.0,0.0,74.7360756966,62.2147399465,64.1680229139,6338.2,0.0
2017-04-19 14:24:45.729706,Adult Census Income,32561,10,5,Gain Ratio,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,7.0,8,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000605325592915,0.000529821001692,4.19159769081e-06,0.0,0.0,74.7360756966,68.4130748671,64.8853452994,4188.6,0.0
2017-04-19 14:24:45.776290,Cars,1728,10,5,Gini Gain,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000797147199046,0.000796345004346,4.94419946335e-06,0.0,0.0,60.3608847497,61.8859138533,61.8859138533,0.0,1.2
2017-04-19 14:24:45.795876,Cars,1728,10,5,Twoing,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000916243804386,0.00110272600432,4.70020459034e-06,0.0,0.0,60.3608847497,61.8859138533,61.8859138533,0.0,1.2
2017-04-19 14:24:45.811945,Cars,1728,10,5,Gain Ratio,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000352584000211,0.00036246801028,6.84059923515e-06,0.0,0.0,60.3608847497,62.8987194412,62.8987194412,0.0,2.2
2017-04-19 14:24:45.904245,Cars with Aggreg,1728,10,5,Gini Gain,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.00683659379138,0.00703027998679,3.23880813085e-06,0.0,0.0,60.3608847497,62.7124563446,60.0202617735,734.4,0.0
2017-04-19 14:24:45.951571,Cars with Aggreg,1728,10,5,Twoing,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.00116187480744,0.00138274999335,3.12821357511e-06,0.0,0.0,60.3608847497,62.7124563446,60.0202617735,734.4,0.0
2017-04-19 14:24:45.999767,Cars with Aggreg,1728,10,5,Gain Ratio,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000545162009075,0.000536998006282,4.38659335487e-06,0.0,0.0,60.3608847497,60.3608847497,58.2905867039,734.4,0.0
2017-04-19 14:24:46.035314,Contraceptive,1473,10,5,Gini Gain,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.6,7,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000606200000038,0.000574876001338,2.93839839287e-06,0.0,0.0,31.3465481887,33.9439507861,34.4598073841,75.0,0.0
2017-04-19 14:24:46.055762,Contraceptive,1473,10,5,Twoing,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.6,7,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.00101664339891,0.000962123012869,2.88339215331e-06,0.0,0.0,31.3465481887,33.9439507861,34.4598073841,75.0,0.0
2017-04-19 14:24:46.074811,Contraceptive,1473,10,5,Gain Ratio,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,6.6,7,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.000364355795318,0.000341700972058,3.02959815599e-06,0.0,0.0,31.3465481887,34.3130553657,35.725813974,171.2,0.0
2017-04-19 14:24:46.143563,Contraceptive with Aggreg,1473,10,5,Gini Gain,1,False,None,False,False,None,None,None,0.0,0,0,0.0,0,0,8.6,9,8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,1,1,0.0,0.0026151986036,0.00180977300624,2.99180392176e-06,0.0,0.0,31.3465481887,36.2406015038,37.3713007701,565.0,0.0
