m;L;U;p_c;t;f;E;E/m
5;0.1;0.4;0.95;32;7;98.8762566868928;19.77525133737856
5;0.1;0.25;0.95;101;16;330.4633751019131;66.09267502038261
5;0.01;0.02;0.95;2320;32;4153.229734081139;830.6459468162278
5;0.1;0.4;0.99;54;12;179.26463184523246;35.85292636904649
5;0.1;0.25;0.99;168;27;424.96204223203154;84.9924084464063
5;0.01;0.02;0.99;3927;55;7030.1750241750115;1406.0350048350024
20;0.1;0.4;0.95;40;8;387.04207397016177;19.35210369850809
20;0.1;0.25;0.95;126;19;957.8200703693842;47.89100351846921
20;0.01;0.02;0.95;2928;39;5676.285517697746;283.8142758848873
20;0.1;0.4;0.99;62;13;672.0643804799591;33.60321902399796
20;0.1;0.25;0.99;199;31;1850.1531262866592;92.50765631433296
20;0.01;0.02;0.99;4606;63;18504.589882815595;925.2294941407797
50;0.1;0.4;0.95;46;9;1049.1390963188403;20.982781926376806
50;0.1;0.25;0.95;143;21;2128.2755213476594;42.56551042695319
50;0.01;0.02;0.95;3354;44;19143.876151386645;382.8775230277329
50;0.1;0.4;0.99;68;14;1717.7194227657528;34.35438845531505
50;0.1;0.25;0.99;216;33;4354.335515214138;87.08671030428275
50;0.01;0.02;0.99;5037;68;47326.30590563944;946.5261181127888
